goos: windows
goarch: amd64
pkg: jr_cache_compare
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkGetHit/jr_cache/CacheMap-LRU/10000-24   	17542064	        34.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHit/jr_cache/CacheMap-LRU/100000-24  	14966624	        39.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHit/jr_cache/CacheMap-LFU/10000-24   	 5700804	       102.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHit/jr_cache/CacheMap-LFU/100000-24  	 4246957	       144.1 ns/op	       1 B/op	       0 allocs/op
BenchmarkGetHit/jr_cache/Sharded-LRU/10000-24    	11266737	        55.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHit/jr_cache/Sharded-LRU/100000-24   	 8829488	        67.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHit/jr_cache/Sharded-LFU/10000-24    	 3569658	       168.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHit/jr_cache/Sharded-LFU/100000-24   	 2289410	       228.5 ns/op	       3 B/op	       0 allocs/op
BenchmarkGetHit/jr_cache/Sharded-LRU-global/10000-24         	 7305250	        85.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHit/jr_cache/Sharded-LRU-global/100000-24        	 5274108	       113.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHit/hashicorp/golang-lru/10000-24                	22450299	        27.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHit/hashicorp/golang-lru/100000-24               	15297614	        40.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHit/hashicorp/golang-lru-2Q/10000-24             	20114316	        28.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHit/hashicorp/golang-lru-2Q/100000-24            	13534189	        43.45 ns/op	       1 B/op	       0 allocs/op
BenchmarkGetHit/dgraph-io/ristretto/10000-24                 	10349662	        56.99 ns/op	       7 B/op	       0 allocs/op
BenchmarkGetHit/dgraph-io/ristretto/100000-24                	 7597455	        76.89 ns/op	       7 B/op	       0 allocs/op
BenchmarkGetHit/maypok86/otter/10000-24                      	14056196	        42.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHit/maypok86/otter/100000-24                     	13127292	        48.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHit/Yiling-J/theine/10000-24                     	 5284401	       113.1 ns/op	      16 B/op	       1 allocs/op
BenchmarkGetHit/Yiling-J/theine/100000-24                    	 4274632	       146.3 ns/op	      16 B/op	       1 allocs/op
BenchmarkGetHit/bluele/gcache-LRU/10000-24                   	10926871	        56.01 ns/op	      16 B/op	       1 allocs/op
BenchmarkGetHit/bluele/gcache-LRU/100000-24                  	 8037529	        73.50 ns/op	      16 B/op	       1 allocs/op
BenchmarkGetHit/bluele/gcache-LFU/10000-24                   	 4193481	       144.5 ns/op	      75 B/op	       1 allocs/op
BenchmarkGetHit/bluele/gcache-LFU/100000-24                  	 3002881	       194.4 ns/op	      63 B/op	       1 allocs/op
BenchmarkGetHit/allegro/bigcache/10000-24                    	10832846	        55.67 ns/op	      16 B/op	       2 allocs/op
BenchmarkGetHit/allegro/bigcache/100000-24                   	 9365868	        65.07 ns/op	      20 B/op	       1 allocs/op
BenchmarkGetHit/coocood/freecache/10000-24                   	 9637330	        63.18 ns/op	       7 B/op	       0 allocs/op
BenchmarkGetHit/coocood/freecache/100000-24                  	 6483612	        91.93 ns/op	       7 B/op	       0 allocs/op
BenchmarkGetHit/patrickmn/go-cache/10000-24                  	37721613	        16.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHit/patrickmn/go-cache/100000-24                 	27758757	        21.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHit/orcaman/concurrent-map/10000-24              	26812766	        22.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHit/orcaman/concurrent-map/100000-24             	21091483	        28.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHit/jr_cache/ShardedMap/10000-24                 	21433546	        28.38 ns/op	       0 B/op	       0 allocs/op
